Author Name,Authorship position,Total number of authors,Title,PMID,Journal,NS Journal,NS pub,Year,Affiliation,Last Author,Last Author Affiliation
"Akinnusotu, Oluwatoyin",7,11,Assessing the differences in operative and patient-reported outcomes between lateral approaches for lumbar fusion: a systematic review and indirect meta-analysis.,35453114,Journal of neurosurgery. Spine,,,2022 Apr 22,"6Meharry Medical College, Nashville, Tennessee.",,
"Akinnusotu, Oluwatoyin",1,8,Outcomes following surgical and endovascular treatment of extracranial vertebral artery aneurysms (VAA): a systematic evaluation of the literature.,37779135,Neurosurgical review,,,2023 Oct 2,"Meharry Medical College, Nashville, TN, USA.",,
"Akinnusotu, Oluwatoyin",2,7,Genome-Wide Association Study Identifies Genetic Risk Factors for Spastic Cerebral Palsy.,34098570,Neurosurgery,,,2021 Aug 16,"Surgical Outcomes Center for Kids, Monroe Carell Jr Children's Hospital of Vanderbilt University, Nashville, Tennessee, USA.",,
"Akinnusotu, Oluwatoyin",2,7,Sport participation and related head injuries following craniosynostosis correction: a survey study.,33794495,Neurosurgical focus,,,2021 Apr,"2Surgical Outcomes Center for Kids, Monroe Carell Jr. Children's Hospital at Vanderbilt University; and.",,
,,,,,,,,,"3Meharry Medical College School of Medicine, Nashville, Tennessee.",,
"Akinnusotu, Oluwatoyin",1,4,"Neurosurgical management of cervicomedullary compression, spinal stenosis, and hydrocephalus in pediatric achondroplasia: a systematic review.",37728398,Journal of neurosurgery. Pediatrics,,,2023 Nov 1,"1Meharry Medical College, Nashville, Tennessee; and.",,
"Akinnusotu, Oluwatoyin",1,4,Supporting Mental Health and Psychological Resilience Among the Health Care Workforce: Gaps in the Evidence and Urgency for Action.,36849469,Annals of family medicine,,,2023 Feb,"Department of Neurosurgery, Mayo Clinic Rochester, Minnesota oakinnusotu19@email.mmc.edu.",,
"Akinnusotu, Oluwatoyin",6,13,Conversion of left atrial volume to diameter for automated estimation of sudden cardiac death risk in hypertrophic cardiomyopathy.,33325582,"Echocardiography (Mount Kisco, N.Y.)",,,2021 Feb,"Department of Cardiovascular Medicine, Mayo Clinic, Rochester, MN, USA.",,
,,,,,,,,,,,
"Heydari, Ehsaun",4,6,Review of the Treatments for Central Neuropathic Pain.,36552186,Brain sciences,,,2022 Dec 16,"Department of Neuroscience and Experimental Therapeutics, Albany Medical College, Albany, NY 12208, USA.",,
"Heydari, Ehsaun S",2,7,Botulinum Toxin as an Effective Treatment for Trigeminal Neuralgia in Surgical Practices.,35944492,Stereotactic and functional neurosurgery,,,2022,"Department of Neuroscience and Experimental Therapeutics, Albany Medical College, Albany, New York, USA.",,
"Heydari, Ehsaun S",4,12,Developing a fast-track discharge protocol for patients with cerebral aneurysms treated via neuroendovascular techniques.,35648585,"Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences",,,2022 Jun 1,"Department of Neurosurgery, 138207Albany Medical Center, Albany, NY, USA.",,
,,,,,,,,,,,
